2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[44]------ =====签名报文结束====== 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[101]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/backTransReq.do 
2016-09-24 13:38:13, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[102]------ 后台请求报文为>version=5.0.0&encoding=utf-8&signMethod=01&txnType=11&txnSubType=00&bizType=000501&accessType=0&channelType=07&currencyCode=156&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_demo_dk%2Fdemo%2Fapi_09_dk%2FBackReceive.php&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&txnTime=20160924105000&txnAmt=1000&accNo=OBEFzQR2%2FrIcgvIS1mzcYzOusa5UcdBEgJkIqbi8HxKPAHMG28fx4%2FtShRV%2FCbzUaljBdidGrkIzSUe2wDJMH8w2A1o3TjUJncgN4uqb64dUPnpsW4YGFVPHjUf%2BiqEkmO5xTTXQ3E4CfKhXaLmkeeuE4Qsw7x%2F4bMPtH%2Fg2PVZZ2IekmHp6GbZofvgyX6AzZf%2F0H2AG4F%2Fq%2BR3heeZDZ6gl%2FwNX2hSceRKHUDzxregKBnyBZfNsyKDU6Na2Phs%2FXYRIFFvD0caTKI6Y4zR34OOyW019hb2j82egP6oubenknKkgQWRZIOfDok%2FRSNgamHDzX8A39C8rTuyX2ZRIlw%3D%3D&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPVBtMUdkK0RER2ovRmhzQ1dIVHc5b3QwUENoRDNWaG1HbzlPZFZtTDZzOURnZnVuRHRhbEc5SlpTYVVyenJWRjFKamxEWnBhbGZFZGJkR0RidEFHenp6aG1xajg5eThPbDI4U05ueVQ1NllSbHdaU1owQ21vUmhNMmNFWTFSdjlXaDRaS3E2UmNhYld0c0UwVlVEK0djZTJNTEYrNVNJQTVVTFZIa1NhcWhZL25VUXdHSTF1ZFYyN2JBelB3WHVUZW9tTzhjeWhyVS9Ma1NvTEpuNGZLSFI1RXNhQ0tIeldZRmI4Z0IwRkhSdFc1Q1VuNUhTWnM0MnBYVTJKQWY0akVUOG5oYTFJMGxZR3A3WDJQRm03eGdMMk9aV1N4aWZPeUMrRXc0V3FIeXdQMzNUTW9PbjFnL2w3L1dEWlQ0bjR1UDdaTmlramg2TFpTNkRpWTJmb3BWQT09fQ%3D%3D&certId=40220995861346480087409489142384722381&signature=FfsjWeYSdNGbWXmNpR28AegE%2FwkH4uEQlcCH07hLLDhej6MLtIpPtcLo5QVr8%2FLg7Hv0pZbRSII7Ol5%2Fz4z5cK3D0%2FATcYJfJP9JAC%2FFxH58%2Bw4QOVDXC3NZhHCxiZIIoBS2LB2CgrEtvS6jeuvr58zUZZ51MlKDsCyb7wcp63Q%3D 
2016-09-24 13:38:15, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[116]------ 后台返回结果为> 
2016-09-24 13:38:15, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[121]------ 请求失败，报错信息>SSL read: error:00000000:lib(0):func(0):reason(0), errno 54 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[85]------ 读取加密证书…… 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[105]------ 加密证书读取成功，序列号：68759585097 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：40220995861346480087409489142384722381 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[22]------ =====签名报文开始====== 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[28]------ 签名key=val&...串 >accNo=BheVjVToT+ZZmX6s/VMzLN06sWOj6gsTAs6MEQ5RDWt/nVM/O7PSg7TeiaoTiYli9v6/jEA6mWn5Nf9keHbC5A6Y9w1jXVOOJEa8FmOsDzIUWIn4S7Um70YkgNg/Gag/D658+LJHz/DHaQFJgcxMF4DLF7IzcJbfCWcscgOHQMU4c8X3/sC9wZWpHpIm0I0NR13PrlUjiOp+TAzyFPJx6M255E+/DnL3zwIfg3n/VZdFMhs0zRi9Mz0qIJNGwJPEwifldCUT9O4fToZfZf0vPUIZ4DI43upMlvcGBkj0oFBTxEurcJQePE1viZhzQ/gjRey8g2NtS2Yys4hH32ewNQ==&accessType=0&backUrl=http://222.222.222.222/upacp_demo_dk/demo/api_09_dk/BackReceive.php&bizType=000501&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&customerInfo=e2NlcnRpZlRwPTAxJmNlcnRpZklkPTM0MTEyNjE5NzcwOTIxODM2NiZjdXN0b21lck5tPeWFqOa4oOmBkyZlbmNyeXB0ZWRJbmZvPWM1aGFJK001UDJKbmlRU2oyT2prTVNUN0svaUFTY0xYT2JyeGxoTGlQRVNFMjVJUUFiV3pqVFZ2cEJPdWhqOGQySUhWSTY0MklrOVN4MHQyTkVVRHJRaXNFUXNGZ0NVUlhRK3VuRHY1RmRBeno3TUVHWHBHOEZzTnp2ZkpOTUVmZm5jU3lSdW1Uclc1dWd0ZStIcHA1aWhEYTNtTjMwSTlzRXJZdENXNE45NHpSZFp3N2tKWjBRc1N1eVl6MXpnOXMzaE55eWxyeUQ4VXBZS2dwdWg5S29FZDdmQlpjUmFWMFAwL1VaZndkYjJTemhsSmI5bVZmZWYrOTQ3TjVKMUV0NHgwbHg5L2FuTCtjSUlQeVNsb2lBUmF6SWJSaDN3WlVBNHRYcGpsS3UySmE3TnkrN3hEbjVVVmNpQUxlZ0VMb3ZhWlJlRVBSMkxKQ1pyZ1c1SDhNQT09fQ==&encoding=utf-8&encryptCertId=68759585097&merId=777290058138272&orderId=1234567890123&signMethod=01&txnAmt=1000&txnSubType=00&txnTime=20160924105000&txnType=11&version=5.0.0 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[31]------ 摘要sha1x16 >f86e0581f10917e4e8f876d43d5033716c17c2c7 
2016-09-24 13:55:05, INFO, 127.0.0.1, File[ /Applications/XAMPP/xamppfiles/htdocs/Borrowing/application/libraries/unionpay_sdk/acp_service.php ], Line[39]------ 签名串为 >IhR75/HzQuL7hJzwhSAzrS100RkcgOj6vWDImygIOVGwttEfWERIY6SjArfunU2IIHKrAqMyLTiWhtwXWjoZx0zgsdD+la5RCgbPoalfZQkIx+PeRx8KxL6Qo+S+cjiE1dV6wrKskBNqtoJYo4xuIJSS9iq0vb0WMc8CstfyPJg= 
